"","bidirectId","centrality_pre","centrality_post","geom_length","pre_scenario","post_scenario"
"28520",78657,187,105,0.0877541524426404,"[1-726]","[1-726]"
"28521",78657,187,105,0.0877541524426404,"[1-726]","[1-726]"
"28522",78658,43,17,0.153543135230014,"[1-726]","[1-726]"
"28523",78658,43,17,0.153543135230014,"[1-726]","[1-726]"
"28524",78658,43,17,0.153543135230014,"[1-726]","[1-726]"
"28525",78658,43,17,0.153543135230014,"[1-726]","[1-726]"
"28526",78659,189,32,0.0944892968424387,"[1-726]","[1-726]"
"28527",78659,189,32,0.0944892968424387,"[1-726]","[1-726]"
"28528",78659,189,32,0.0944892968424387,"[1-726]","[1-726]"
"28529",78659,189,32,0.0944892968424387,"[1-726]","[1-726]"
"28530",78678,1721,0,0.0571693186435628,"[726-2114]","[0]"
"28531",78678,1721,0,0.0571693186435628,"[726-2114]","[0]"
"28532",78679,929,637,0.287535183320584,"[726-2114]","[1-726]"
"28533",78679,929,637,0.287535183320584,"[726-2114]","[1-726]"
"28534",78679,929,637,0.287535183320584,"[726-2114]","[1-726]"
"28535",78679,929,637,0.287535183320584,"[726-2114]","[1-726]"
"28536",78690,1692,1386,0.0258546993444291,"[726-2114]","[726-2114]"
"28537",78690,1692,1386,0.0258546993444291,"[726-2114]","[726-2114]"
"28538",78690,1692,1386,0.0258546993444291,"[726-2114]","[726-2114]"
"28539",78690,1692,1386,0.0258546993444291,"[726-2114]","[726-2114]"
"28540",78691,1692,1386,0.494880336755495,"[726-2114]","[726-2114]"
"28541",78691,1692,1386,0.494880336755495,"[726-2114]","[726-2114]"
"28542",78691,1692,1386,0.494880336755495,"[726-2114]","[726-2114]"
"28543",78691,1692,1386,0.494880336755495,"[726-2114]","[726-2114]"
"28544",78692,305,210,0.123357377893535,"[1-726]","[1-726]"
"28545",78692,305,210,0.123357377893535,"[1-726]","[1-726]"
"28546",78692,305,210,0.123357377893535,"[1-726]","[1-726]"
"28547",78692,305,210,0.123357377893535,"[1-726]","[1-726]"
"28548",78693,305,210,0.165980854208549,"[1-726]","[1-726]"
"28549",78693,305,210,0.165980854208549,"[1-726]","[1-726]"
"28550",78693,305,210,0.165980854208549,"[1-726]","[1-726]"
"28551",78693,305,210,0.165980854208549,"[1-726]","[1-726]"
"28552",78694,819,577,0.0344634577856262,"[726-2114]","[1-726]"
"28553",78694,819,577,0.0344634577856262,"[726-2114]","[1-726]"
"28554",78694,819,577,0.0344634577856262,"[726-2114]","[1-726]"
"28555",78694,819,577,0.0344634577856262,"[726-2114]","[1-726]"
